Specimenid,Species,Mne,Landscape,geometry,mDist_to_road,mDist_to_river,mDist_to_UREMA,mDist_to_gnp_pans,longitude,latitude
PPG2017-B-21,Warthog,1,Midlands Rocky Riparian,34.231373|-18.968221,1615.5670423557,7320.48839588026,25876.2643594239,1437.40858992054,34.231373,-18.968221
PPG2016-B-7,Hippo,1,Midlands Rocky Riparian,34.31118|-18.54834,1249.74055916251,2124.70110201829,38336.7389673817,4604.02591855038,34.31118,-18.54834
PPG2016-B-8,Warthog,1,Midlands Rocky Riparian,34.31118|-18.54834,1249.74055916251,2124.70110201829,38336.7389673817,4604.02591855038,34.31118,-18.54834
PPG2022-B-151,Waterbuck,56,Midlands Rocky Riparian,34.24296|-18.71417,1062.71984328053,748.204748573632,28453.6030426867,2966.49772950811,34.24296,-18.71417
PPG2022-B-153,Waterbuck,62,Midlands Rocky Riparian,34.24133|-18.71861,551.839135314414,1017.24331241466,28308.0224167666,2882.79598380697,34.24133,-18.71861
PPG2022-B-166,Waterbuck,16,Midlands Rocky Riparian,34.2305|-18.71663,260.924430907994,2078.27650506119,29373.6915067311,4025.14734834945,34.2305,-18.71663
PPG2022-B-172,Kudu,8,Midlands Rocky Riparian,34.24485|-18.73355,919.401419922779,1869.94277447442,27079.2983484968,2336.14794706479,34.24485,-18.73355
PPG2017-B-36,Baboon,1,Midlands Rocky Riparian,34.614676|-18.934645,51.4409242493442,2308.84377369578,8372.08632631888,2035.44669988684,34.614676,-18.934645
PPG2017-B-35,Elephant,1,Midlands Rocky Riparian,34.614676|-18.934645,51.4409242493442,2308.84377369578,8372.08632631888,2035.44669988684,34.614676,-18.934645
PPG2016-B-31,Blue wildebeest,1,Rift Valley Alluvial Fan,34.2486159|-18.937393,8.28909741096518,4187.22408842431,23020.0347045843,254.070654539884,34.2486159,-18.937393
PPG2019-B-26,Waterbuck,1,Rift Valley Alluvial Fan,34.2659377|-18.8462171,3254.91413084851,5645.69946675193,20586.7357744029,757.15983284332,34.2659377,-18.8462171
PPG2019-B-27,Reedbuck,1,Rift Valley Alluvial Fan,34.2614087|-18.8484579,3762.15669941683,5419.82678381724,21014.3358943084,235.490422769893,34.2614087,-18.8484579
PPG2019-B-28,Waterbuck,1,Rift Valley Alluvial Fan,34.2657348|-18.8469492,3330.11293869509,5564.67525730082,20593.5245372402,712.743840664862,34.2657348,-18.8469492
PPG2019-B-39,Waterbuck,1,Rift Valley Alluvial Fan,34.2781|-18.95771,253.394320592597,5875.540812164,20905.4455512291,781.881204425907,34.2781,-18.95771
PPG2019-B-45,Waterbuck,1,Rift Valley Alluvial Fan,34.33287|-18.855076,1247.26103452395,5049.73364190893,13482.9411639912,126.836981750242,34.33287,-18.855076
PPG2019-B-51,Waterbuck,1,Rift Valley Alluvial Fan,34.32757|-18.84529,1490.04085313238,5815.94546495349,14261.9198715001,538.189941590352,34.32757,-18.84529
PPG2019-B-52,Warthog,1,Rift Valley Alluvial Fan,34.32684|-18.85049,1071.39483159736,5247.91541518722,14210.2764575,424.278159647236,34.32684,-18.85049
PPG2019-B-53,Waterbuck,1,Rift Valley Alluvial Fan,34.32877|-18.83731,2101.11570000583,6687.5994282256,14313.2059700191,335.737262841118,34.32877,-18.83731
PPG2019-B-54,Warthog,1,Rift Valley Alluvial Fan,34.33215|-18.83208,2723.88219594898,6299.38839465552,14114.2253675298,425.059902535023,34.33215,-18.83208
PPG2019-B-57,Waterbuck,1,Rift Valley Alluvial Fan,34.32204|-18.81159,3558.65048568841,7264.72721220659,15850.5411944271,20.7421217820649,34.32204,-18.81159
PPG2019-B-58,Warthog,1,Rift Valley Alluvial Fan,34.32208|-18.82522,2495.82263480876,7243.01993747806,15348.1724336317,903.350344032365,34.32208,-18.82522
PPG2019-B-59,Oribi,1,Rift Valley Alluvial Fan,34.32173|-18.82624,2394.22941041738,7289.05870794474,15349.7310270171,893.424528996681,34.32173,-18.82624
PPG2019-B-60,Baboon,1,Rift Valley Alluvial Fan,34.32173|-18.82624,2394.22941041738,7289.05870794474,15349.7310270171,893.424528996681,34.32173,-18.82624
PPG2019-B-61,Waterbuck,1,Rift Valley Alluvial Fan,34.32173|-18.82624,2394.22941041738,7289.05870794474,15349.7310270171,893.424528996681,34.32173,-18.82624
PPG2019-B-80,Hippo,1,Rift Valley Alluvial Fan,34.49888|-18.608611,7006.60293971223,3836.83972253801,28189.918882066,393.512895416714,34.49888,-18.608611
PPG2022-B-108,Warthog,7,Rift Valley Alluvial Fan,34.262866|-18.9791815,104.476899947501,4949.82193934128,23408.101755751,736.355198130639,34.262866,-18.9791815
PPPG2017-B-35,Waterbuck,1,Rift Valley Alluvial Fan,34.364999|-18.86429,327.871920395607,2743.31907925643,9972.58495588672,204.809371065687,34.364999,-18.86429
PPG2019B-39,Buffalo,1,Rift Valley Alluvial Fan,34.2781|-18.95771,253.394320592597,5875.540812164,20905.4455512291,781.881204425907,34.2781,-18.95771
PPG2019B-57,Waterbuck,1,Rift Valley Alluvial Fan,34.32204|-18.81159,3558.65048568841,7264.72721220659,15850.5411944271,20.7421217820649,34.32204,-18.81159
PPG2022-B-164,Blue wildebeest,82,Rift Valley Alluvial Fan,34.25905|-19.01033,23.2370696864672,2834.67846158763,25569.6420975267,1252.30069876284,34.25905,-19.01033
PPG2022-B-104,Blue wildebeest,46,Rift Valley Alluvial Fan,34.2599036|-18.9775708,130.155212925363,5286.87477365085,23598.7585552236,481.589634889049,34.2599036,-18.9775708
PPG2017-B-40,Buffalo,1,Rift Valley Alluvial Fan,34.533519|-19.025769,1067.3031080159,1902.64322638626,12119.8205760659,1530.08199960163,34.533519,-19.025769
PPG-B-,Blue wildebeest,1,Rift Valley Alluvial Fan,34.37644|-18.93898,52.9412457658786,1970.04150092684,10918.3077037222,141.550842311482,34.37644,-18.93898
PPG2017-B-,Blue wildebeest,1,Rift Valley Alluvial Fan,34.37644|-18.93898,52.9412457658786,1970.04150092684,10918.3077037222,141.550842311482,34.37644,-18.93898
PPG2019-B-29,Warthog,1,Rift Valley Alluvial Fan,34.4716104|-18.9936835,156.863485665103,8445.0864972231,10444.0179480637,1037.01158982064,34.4716104,-18.9936835
PPG2019-B-30,Waterbuck,1,Rift Valley Alluvial Fan,34.521066|-18.9559818,1463.26044240789,2181.10312801956,4648.82031379166,259.223441862659,34.521066,-18.9559818
PPG2019-B-40,Bushbuck,1,Rift Valley Alluvial Fan,34.32092|-18.97498,335.390847305084,2806.03149463207,17991.7524442565,384.741110597297,34.32092,-18.97498
PPG2019-B-41,Warthog,1,Rift Valley Alluvial Fan,34.33162|-18.94875,1214.00949200678,2421.42332196952,15446.0767353197,64.6550842507993,34.33162,-18.94875
PPG2019-B-44,Waterbuck,1,Rift Valley Alluvial Fan,34.33656|-18.94219,1275.80227346187,1531.77101932946,14634.8678182564,340.39522286512,34.33656,-18.94219
PPG2019-B-47,Waterbuck,1,Rift Valley Alluvial Fan,34.3275|-18.95935,685.613051265176,3664.49376261128,16432.774118392,218.919886499976,34.3275,-18.95935
PPG2019-B-48,Waterbuck,1,Rift Valley Alluvial Fan,34.32747|-18.96025,672.35781220472,3755.47573673039,16490.0992838572,142.455197146832,34.32747,-18.96025
PPG2019-B-49,Waterbuck,1,Rift Valley Alluvial Fan,34.52864|-19.02885,734.979828976538,2259.06077607455,12487.4799747713,1630.90314773144,34.52864,-19.02885
PPG2022-B-86,Waterbuck,42,Rift Valley Alluvial Fan,34.4004029|-18.9322435,194.605784812852,3755.16895697636,8420.09913397799,179.590869867503,34.4004029,-18.9322435
PPG2022-B-132,Waterbuck,1,Rift Valley Alluvial Fan,34.4054815|-18.9312719,20.5891330454653,4132.59344986804,7933.43849035749,72.6542576739691,34.4054815,-18.9312719
PPG2021-B-78,Waterbuck,1,Rift Valley Alluvial Fan,34.39867|-18.95459,315.070703157826,4857.30951772203,10165.5668903191,74.2534865403882,34.39867,-18.95459
PPG2021-B-75,Impala,49,Rift Valley Alluvial Fan,34.3986|-18.95431,341.028122622919,4830.82569463515,10148.7367019563,103.131775529922,34.3986,-18.95431
PPG2021-B-76,Impala,47,Rift Valley Alluvial Fan,34.39848|-18.9543,351.291776868545,4820.77140961307,10156.8845256292,111.648670582732,34.39848,-18.9543
PPG2021-B-79,Impala,27,Rift Valley Alluvial Fan,34.39912|-18.95462,277.128306795628,4894.45325557693,10134.600283862,50.5217602272335,34.39912,-18.95462
PPG2022-B-80,Impala,38,Rift Valley Alluvial Fan,34.39875|-18.94547,72.8793093245088,4242.58747519421,9467.69580416724,207.728041474798,34.39875,-18.94547
PPG2022-B-133,Waterbuck,58,Rift Valley Alluvial Fan,34.3971155|-18.9313889,412.215883655451,3399.43025810028,8642.09753348718,161.7522803291,34.3971155,-18.9313889
PPG2022-B-137,Warthog,11,Rift Valley Alluvial Fan,34.3949164|-18.9330619,360.598259405059,3244.05625644549,8938.43070657447,108.424794047922,34.3949164,-18.9330619
PPG2017-B-4,Warthog,1,Rift Valley Alluvial Fan,34.32638|-18.974094,6.48761776665024,2758.99897208133,17462.018944354,37.3309605178491,34.32638,-18.974094
PPG2017-B-41,Buffalo,1,Rift Valley Alluvial Fan,34.533519|-19.025769,1067.3031080159,1902.64322638626,12119.8205760659,1530.08199960163,34.533519,-19.025769
PPG2022-B-140,Waterbuck,1,Rift Valley Alluvial Fan,34.4188327|-18.9254585,2.43114430496542,4862.33227265494,6421.77667326021,475.682846967279,34.4188327,-18.9254585
PPG2022-B-119,Warthog,5,Rift Valley Alluvial Fan,34.3476569|-18.9792869,118.527624326622,1414.04414945316,16005.7702174312,465.486587757379,34.3476569,-18.9792869
PPG2022-B-121,Warthog,17,Rift Valley Alluvial Fan,34.3629336|-18.9698167,156.205262905383,2660.06556518318,14093.8919412766,79.1274699219884,34.3629336,-18.9698167
PPG2022-B-142,Waterbuck,56,Rift Valley Alluvial Fan,34.4011059|-18.9325306,149.713177149319,3834.96140165983,8380.96459410884,207.507516795381,34.4011059,-18.9325306
PPG2022-B-106,Waterbuck,59,Rift Valley Alluvial Fan,34.3509867|-18.9784629,136.512323136437,1436.3090505186,15675.1943564413,487.322274939926,34.3509867,-18.9784629
PPG2022-B-143,Waterbuck,23,Rift Valley Alluvial Fan,34.4019709|-18.9315361,43.7761200231118,3858.40845688305,8241.34992724742,152.393581019081,34.4019709,-18.9315361
PPG2022-B-144,Waterbuck,47,Rift Valley Alluvial Fan,34.4020459|-18.9299625,14.269512522499,3778.03998425051,8129.44771828602,88.5677939919846,34.4020459,-18.9299625
PPG2022-B-87,Waterbuck,76,Rift Valley Alluvial Fan,34.4001104|-18.9340854,4.17418728954049,3794.80094221976,8569.98730409049,312.312740858904,34.4001104,-18.9340854
PPPG2017-B-28,Impala,1,Rift Valley Alluvial Fan,34.398267|-18.994761,136.735182423517,2586.75384139459,13720.4393283959,1726.76934645452,34.398267,-18.994761
PPG-B-30,Waterbuck,80,Rift Valley Alluvial Fan,34.349793|-18.977325,272.51539217281,1575.38574946897,15694.2571972301,310.006949413715,34.349793,-18.977325
PPG2017-B-3,Elephant,1,Rift Valley Alluvial Fan,34.319946|-18.976158,501.04131164508,2696.52638793982,18151.9909076578,522.8306760075,34.319946,-18.976158
PPG2017-B-5,Warthog,1,Rift Valley Alluvial Fan,34.331303|-18.972447,224.334182212764,2709.37938057623,16930.9140398353,178.598443517627,34.331303,-18.972447
PPG2017-B-6,Bushbuck,1,Rift Valley Alluvial Fan,34.331606|-18.972034,277.247314138375,2740.82338482624,16878.6799067952,191.259825145325,34.331606,-18.972034
PPG2017-B-7,Nyala,1,Rift Valley Alluvial Fan,34.329521|-18.972691,209.378604550811,2755.82319643011,17101.0153938822,336.844201546091,34.329521,-18.972691
PPG2017-B-8,Impala,1,Rift Valley Alluvial Fan,34.329521|-18.972691,209.378604550811,2755.82319643011,17101.0153938822,336.844201546091,34.329521,-18.972691
PPG2022-B-0,Waterbuck,1,Rift Valley Alluvial Fan,34.45359|-19.01542,3.83543937343273,5834.00933028311,13404.0217037828,648.325075092917,34.45359,-19.01542
PPG2022-B-129,Kudu,1,Rift Valley Alluvial Fan,34.425|-18.92988,34.1736466595184,5669.38921984819,6264.65242842733,151.750136992544,34.425,-18.92988
PPG2022-B-130,Waterbuck,1,Rift Valley Alluvial Fan,34.4269|-18.92869,191.537746066478,5761.35444376122,6030.2662557158,135.636674496731,34.4269,-18.92869
PPG2022-B-138,Bushpig,1,Rift Valley Alluvial Fan,34.39412|-18.92166,186.881376398812,2534.15433059473,8279.25863015283,246.973614245045,34.39412,-18.92166
PPG2022-B-150,Waterbuck,1,Rift Valley Alluvial Fan,34.3909|-18.93716,186.798548653055,3050.34815546369,9547.89946031386,168.660195323104,34.3909,-18.93716
PPG2022-B-94,Waterbuck,1,Rift Valley Alluvial Fan,34.41866|-18.92538,13.2218248805497,4842.2148928699,6430.70379192364,466.921119602437,34.41866,-18.92538
PPG2022-B-82,Waterbuck,56,Rift Valley Alluvial Fan,34.40551|-18.9312645,20.3509317395228,4134.11868078902,7930.59239428119,74.6365472791524,34.40551,-18.9312645
PPG2022-B-85,Waterbuck,54,Rift Valley Riverine & Floodplain,34.3726644|-18.9090866,41.6754431471725,155.830073219394,9637.3265163034,487.883696225839,34.3726644,-18.9090866
PPG2022-B-89,Waterbuck,78,Rift Valley Riverine & Floodplain,34.3895524|-18.9141771,66.3078536569805,1607.99192684396,8250.03245515564,322.237004015249,34.3895524,-18.9141771
PPG2017-B-28,Baboon,1,Rift Valley Riverine & Floodplain,34.37564|-18.90061,76.9540862040321,271.656297563231,9048.6318930004,1459.63090871682,34.37564,-18.90061
PPG2017-B-29,Warthog,1,Rift Valley Riverine & Floodplain,34.37584|-18.901,58.6854851017815,274.643020319492,9040.06023549825,1421.66376647939,34.37584,-18.901
PPG2017-B-34,Baboon,1,Rift Valley Riverine & Floodplain,34.37608|-18.90327,47.0122600071925,241.881199055205,9087.87402236461,1183.76380688221,34.37608,-18.90327
PPG2017-B-59,Reedbuck,1,Rift Valley Riverine & Floodplain,34.46204|-18.90131,636.107565056307,1077.1554374223,1376.44804459323,1769.03533159013,34.46204,-18.90131
PPG2017-B-60,Warthog,1,Rift Valley Riverine & Floodplain,34.46239|-18.90317,494.36217509883,1212.55033148277,1559.13907862642,1666.98352876509,34.46239,-18.90317
PPG2017-B-61,Warthog,1,Rift Valley Riverine & Floodplain,34.46209|-18.90408,402.09039165504,1313.47435752152,1665.13333033531,1565.11292137742,34.46209,-18.90408
PPG2017-B-62,Bushbuck,1,Rift Valley Riverine & Floodplain,34.46209|-18.90408,402.09039165504,1313.47435752152,1665.13333033531,1565.11292137742,34.46209,-18.90408
PPG2017-B-63,Warthog,1,Rift Valley Riverine & Floodplain,34.46206|-18.90459,365.835712364499,1362.36917349017,1720.22211086532,1508.32081801931,34.46206,-18.90459
PPG2017-B-64,Waterbuck,1,Rift Valley Riverine & Floodplain,34.46276|-18.90527,387.737672704854,1389.2172640144,1773.35122734347,1440.14066813488,34.46276,-18.90527
PPG2017-B-65,Warthog,1,Rift Valley Riverine & Floodplain,34.46305|-18.90927,305.033467962708,1774.26314875239,2201.72274208133,1006.16599635837,34.46305,-18.90927
PPG2017-B-66,Waterbuck,1,Rift Valley Riverine & Floodplain,34.46448|-18.90956,443.999456081083,1691.79676344878,2207.04265950595,1017.50194844036,34.46448,-18.90956
PPG2017-B-67,Waterbuck,1,Rift Valley Riverine & Floodplain,34.46508|-18.91112,466.372941987855,1784.97299212959,2353.81276304139,885.665461941256,34.46508,-18.91112
PPG2017-B-68,Reedbuck,1,Rift Valley Riverine & Floodplain,34.46547|-18.91176,490.392433350034,1816.52949836053,2411.68099060456,845.557657956887,34.46547,-18.91176
PPG2017-B-69,Waterbuck,1,Rift Valley Riverine & Floodplain,34.46666|-18.91383,455.901163597826,1934.88986581352,2609.16337892358,757.562092988804,34.46666,-18.91383
PPG2017-B-70,Waterbuck,1,Rift Valley Riverine & Floodplain,34.46779|-18.91613,269.651098080235,2105.38497234283,2839.85607674037,662.426316981869,34.46779,-18.91613
PPG2017-B-71,Waterbuck,1,Rift Valley Riverine & Floodplain,34.46864|-18.91751,217.767094358563,2212.08565431647,2955.81385961322,594.392763053522,34.46864,-18.91751
PPG2017-B-72,Warthog,1,Rift Valley Riverine & Floodplain,34.46991|-18.91849,82.0128233868205,2271.90379347414,3002.92123679835,635.281358030107,34.46991,-18.91849
PPG2017-B-73,Warthog,1,Rift Valley Riverine & Floodplain,34.47079|-18.91856,18.4055811894363,2254.35456455067,2975.26703547546,714.038309459401,34.47079,-18.91856
PPG2017-B-74,Warthog,1,Rift Valley Riverine & Floodplain,34.47325|-18.92015,236.767158688704,2302.49805925746,3051.78366185361,842.407901319755,34.47325,-18.92015
PPG2017-B-75,Reedbuck,1,Rift Valley Riverine & Floodplain,34.47388|-18.92192,420.604722762149,2428.3403997783,3222.00858671764,685.148424255621,34.47388,-18.92192
PPG2017-B-76,Reedbuck,1,Rift Valley Riverine & Floodplain,34.47438|-18.923,525.679628399127,2504.43714067028,3325.03351979138,611.60578696829,34.47438,-18.923
PPG2017-B-78,Reedbuck,1,Rift Valley Riverine & Floodplain,34.47633|-18.92783,985.620901698732,2903.94333064422,3811.51701629493,352.933357803568,34.47633,-18.92783
PPG2017-B-79,Oribi,1,Rift Valley Riverine & Floodplain,34.38326|-18.9108,638.991099460839,872.453160574557,8677.57267593028,734.346565238313,34.38326,-18.9108
PPG2017-B-80,Reedbuck,1,Rift Valley Riverine & Floodplain,34.38157|-18.91048,634.551414588529,737.823626890521,8825.8670995601,904.524610493842,34.38157,-18.91048
PPG2017-B-81,Reedbuck,1,Rift Valley Riverine & Floodplain,34.38022|-18.90899,493.166314231311,521.930543939206,8892.61791458972,920.758377671306,34.38022,-18.90899
PPG2017-B-82,Reedbuck,1,Rift Valley Riverine & Floodplain,34.37936|-18.90867,470.435536209506,445.973721014426,8963.28070884233,867.52460914301,34.37936,-18.90867
PPG2017-B-83,Waterbuck,1,Rift Valley Riverine & Floodplain,34.37822|-18.90539,116.643906185347,71.140759131275,8948.13116273544,1060.82330240555,34.37822,-18.90539
PPG2017-B-84,Waterbuck,1,Rift Valley Riverine & Floodplain,34.3766|-18.90246,11.6888454147632,230.780404267086,9009.05421977832,1285.99703496468,34.3766,-18.90246
PPG2017-B-85,Buffalo,1,Rift Valley Riverine & Floodplain,34.37678|-18.90142,37.0660442154629,208.77264315327,8957.89832711311,1401.99433320814,34.37678,-18.90142
PPG2017-B-86,Reedbuck,1,Rift Valley Riverine & Floodplain,34.37629|-18.90058,8.49991343713301,210.446450887347,8981.85690285033,1478.09282523596,34.37629,-18.90058
PPG2017-B-87,Reedbuck,1,Rift Valley Riverine & Floodplain,34.37709|-18.90007,75.8408828157249,109.274155008311,8885.61369496416,1555.11299897487,34.37709,-18.90007
PPG2017-B-88,Warthog,1,Rift Valley Riverine & Floodplain,34.37662|-18.89827,100.721769984692,114.589610773491,8882.60401157934,1735.89845992112,34.37662,-18.89827
PPG2017-B-89,Reedbuck,1,Rift Valley Riverine & Floodplain,34.37658|-18.8986,71.117708014056,118.712417919044,8895.66025848903,1699.21611168348,34.37658,-18.8986
PPG2017-B-90,Waterbuck,1,Rift Valley Riverine & Floodplain,34.37658|-18.8986,71.117708014056,118.712417919044,8895.66025848903,1699.21611168348,34.37658,-18.8986
PPG2017-B-91,Reedbuck,1,Rift Valley Riverine & Floodplain,34.37538|-18.89675,149.318888432051,287.094237365725,8970.26126097287,1878.04452336399,34.37538,-18.89675
PPG2017-B-92,Reedbuck,1,Rift Valley Riverine & Floodplain,34.37449|-18.89611,126.461843506773,384.264968391022,9046.25090022927,1937.99981086571,34.37449,-18.89611
PPG2017-B-93,Warthog,1,Rift Valley Riverine & Floodplain,34.52087|-18.94431,1729.44736863672,2215.4126844301,3462.82982462571,643.703862359255,34.52087,-18.94431
PPG2016-B-2,Oribi,1,Rift Valley Riverine & Floodplain,34.376|-18.90415,51.7300365855294,148.895634703939,9125.56010230552,1087.78021910576,34.376,-18.90415
PPG2016-B-10,Baboon,1,Rift Valley Riverine & Floodplain,34.37243|-18.90688,178.016075173258,42.5703478481632,9577.9005050343,734.205173326892,34.37243,-18.90688
PPG2016-B-15,Waterbuck,1,Rift Valley Riverine & Floodplain,34.37421|-18.90585,123.260943257794,57.0322808746881,9363.71159639996,859.185606772634,34.37421,-18.90585
PPG2016-B-16,Baboon,1,Rift Valley Riverine & Floodplain,34.3741977|-18.9058509,124.349974856086,57.2018217547859,9364.96941660503,858.873796799096,34.3741977,-18.9058509
PPG2016-B-22,Waterbuck,1,Rift Valley Riverine & Floodplain,34.39609|-18.87834,42.0171330718831,162.744955589698,6568.72083478962,758.381045708977,34.39609,-18.87834
PPG2016-B-25,Warthog,1,Rift Valley Riverine & Floodplain,34.40498|-18.86723,5.43545023713813,439.861539584944,5779.88206913412,1037.24823874236,34.40498,-18.86723
PPG2016-B-27,Reedbuck,1,Rift Valley Riverine & Floodplain,34.4042206|-18.8670671,43.8950965223624,418.719163402626,5861.81370543163,1045.59880474897,34.4042206,-18.8670671
PPG2016-B-30,Reedbuck,1,Rift Valley Riverine & Floodplain,34.4098401|-18.8840849,62.0951561442493,1652.68663205242,5154.5025340011,485.761041334985,34.4098401,-18.8840849
PPG2016-B-32,Warthog,1,Rift Valley Riverine & Floodplain,34.3741977|-18.90581,126.521913098203,52.6605282161248,9363.51405130471,863.360443411781,34.3741977,-18.90581
PPG2016-B-33,Elephant,1,Rift Valley Riverine & Floodplain,34.46005|-18.9091,2.27439871957823,1900.33908545133,2262.33331660447,1008.89797497163,34.46005,-18.9091
PPG2016-B-35,Elephant,1,Rift Valley Riverine & Floodplain,34.46005|-18.9091,2.27439871957823,1900.33908545133,2262.33331660447,1008.89797497163,34.46005,-18.9091
PPG2017-B-27,Baboon,1,Rift Valley Riverine & Floodplain,34.37564|-18.90061,76.9540862040321,271.656297563231,9048.6318930004,1459.63090871682,34.37564,-18.90061
PPG2018-B-28,Waterbuck,1,Rift Valley Riverine & Floodplain,34.37564|-18.90061,76.9540862040321,271.656297563231,9048.6318930004,1459.63090871682,34.37564,-18.90061
PPG2019-B-1,Waterbuck,1,Rift Valley Riverine & Floodplain,34.3411964|-18.9152551,1167.86332298407,1329.11092416451,12989.1154871308,419.296989278158,34.3411964,-18.9152551
PPG2019-B-2,Warthog,1,Rift Valley Riverine & Floodplain,34.3404558|-18.9150835,1089.32157346271,1333.68758888865,13057.2805700989,442.153446192079,34.3404558,-18.9150835
PPG2019-B-7,Waterbuck,1,Rift Valley Riverine & Floodplain,34.4576167|-18.9005767,467.332082747136,1352.26272494041,1542.79456410886,1525.21546698698,34.4576167,-18.9005767
PPG2019-B-10,Waterbuck,1,Rift Valley Riverine & Floodplain,34.4137995|-18.8775002,177.727148483908,1615.76315595542,4707.63362749112,1099.58689216968,34.4137995,-18.8775002
PPG2019-B-12,Warthog,1,Rift Valley Riverine & Floodplain,34.4017778|-18.8728087,267.643433863068,735.079185387691,6007.95340297937,438.63663170885,34.4017778,-18.8728087
PPG2019-B-13,Waterbuck,1,Rift Valley Riverine & Floodplain,34.4046595|-18.8738785,267.511481391363,1029.31050898013,5693.94147436741,313.644707151642,34.4046595,-18.8738785
