Specimenid,Species,Mne,Landscape,geometry,mDist_to_road,mDist_to_river,mDist_to_UREMA,mDist_to_gnp_pans,longitude,latitude
PPG2019-B-14,Waterbuck,1,Rift Valley Riverine & Floodplain,34.4046253|-18.8739464,274.918402502679,1025.57726770426,5696.7922422251,305.281506031506,34.4046253,-18.8739464
PPG2019-B-16,Nyala,1,Rift Valley Riverine & Floodplain,34.4610224|-18.9116662,36.7937063420587,2108.21383213681,2507.67955847529,717.876250228671,34.4610224,-18.9116662
PPG2019-B-17,Oribi,1,Rift Valley Riverine & Floodplain,34.4609986|-18.9144307,10.690364419883,2340.67444302542,2807.29823887556,410.525149854893,34.4609986,-18.9144307
PPG2019-B-19,Warthog,1,Rift Valley Riverine & Floodplain,34.4801496|-18.9191962,282.400513225837,1864.08839580325,2799.01975146337,217.485609090163,34.4801496,-18.9191962
PPG2019-B-20,Reedbuck,1,Rift Valley Riverine & Floodplain,34.4820513|-18.9253132,792.358900420762,2471.98907021256,3359.94236479949,611.419883987555,34.4820513,-18.9253132
PPG2019-B-21,Waterbuck,1,Rift Valley Riverine & Floodplain,34.3706498|-18.8918808,178.743485775253,930.14807661404,9357.39851929651,2052.35630342316,34.3706498,-18.8918808
PPG2019-B-22,Warthog,1,Rift Valley Riverine & Floodplain,34.3706498|-18.8910192,166.007053173538,984.474897529745,9343.0799662941,1957.44721277912,34.3706498,-18.8910192
PPG2019-B-23,Waterbuck,1,Rift Valley Riverine & Floodplain,34.3346146|-18.8906294,56.4401859634708,2349.08266078052,13101.5322440882,97.4130298064093,34.3346146,-18.8906294
PPG2019-B-25,Waterbuck,1,Rift Valley Riverine & Floodplain,34.3191896|-18.8907071,1124.06864311166,952.401364386248,14717.936798208,233.060502659363,34.3191896,-18.8907071
PPG2019-B-31,Waterbuck,1,Rift Valley Riverine & Floodplain,34.36483|-18.87671,691.600414748828,2592.31267061074,9860.39027597479,485.033318325768,34.36483,-18.87671
PPG2019-B-32,Warthog,1,Rift Valley Riverine & Floodplain,34.36483|-18.87671,691.600414748828,2592.31267061074,9860.39027597479,485.033318325768,34.36483,-18.87671
PPG2019-B-34,Waterbuck,1,Rift Valley Riverine & Floodplain,34.3657755|-18.8699227,285.607115976394,2830.87105538076,9808.69976985405,472.639613362207,34.3657755,-18.8699227
PPG2019-B-4,Waterbuck,1,Rift Valley Riverine & Floodplain,34.4124728|-18.8788465,0.937664010062965,1756.21082723777,4844.76564415907,990.507337042486,34.4124728,-18.8788465
PPG2019-B-5,Waterbuck,1,Rift Valley Riverine & Floodplain,34.4137995|-18.8775002,177.727148483908,1615.76315595542,4707.63362749112,1099.58689216968,34.4137995,-18.8775002
PPG2019-B-55,Bushbuck,1,Rift Valley Riverine & Floodplain,34.31237|-18.80501,3401.07032712034,6819.26572261049,17068.769387326,1240.01438480136,34.31237,-18.80501
PPG2019-B-56,Waterbuck,1,Rift Valley Riverine & Floodplain,34.31103|-18.79665,3855.24129946569,5880.20261921135,17574.4543512651,460.461303336001,34.31103,-18.79665
PPG2019-B-62,Reedbuck,1,Rift Valley Riverine & Floodplain,34.55435|-18.93421,1041.20866170263,460.290977801464,2665.40631987935,1377.23700358507,34.55435,-18.93421
PPG2019-B-63,Reedbuck,1,Rift Valley Riverine & Floodplain,34.55487|-18.92743,1423.87571982893,302.649706926952,2227.32673082031,1823.95208611057,34.55487,-18.92743
PPG2019-B-64,Waterbuck,1,Rift Valley Riverine & Floodplain,34.55487|-18.92743,1423.87571982893,302.649706926952,2227.32673082031,1823.95208611057,34.55487,-18.92743
PPG2019-B-65,Waterbuck,1,Rift Valley Riverine & Floodplain,34.56257|-18.91968,1938.38095405835,1233.2739205969,2656.70179837186,1614.10379472074,34.56257,-18.91968
PPG2019-B-66,Waterbuck,1,Rift Valley Riverine & Floodplain,34.56257|-18.91968,1938.38095405835,1233.2739205969,2656.70179837186,1614.10379472074,34.56257,-18.91968
PPG2019-B-74,Waterbuck,1,Rift Valley Riverine & Floodplain,34.49633|-18.9220059,460.972302252085,2065.92229531381,2099.41459259598,323.176590449069,34.49633,-18.9220059
PPPG2017-B-77,Warthog,1,Rift Valley Riverine & Floodplain,34.28046|-18.94678,483.796487575553,4963.5760384037,20195.6799482813,779.398595599482,34.28046,-18.94678
PPPG2017-B-78,Elephant,1,Rift Valley Riverine & Floodplain,34.28046|-18.94678,483.796487575553,4963.5760384037,20195.6799482813,779.398595599482,34.28046,-18.94678
PPG2019-B-82,Warthog,1,Rift Valley Riverine & Floodplain,34.5260539|-18.9192419,456.913762266431,770.581141523579,845.848657624273,656.029241523721,34.5260539,-18.9192419
PPG2016-B-20,Baboon,1,Rift Valley Riverine & Floodplain,34.38783|-18.90593,38.9131617953035,995.817631951919,8022.89181974071,465.671072859287,34.38783,-18.90593
PPG2016-B-21,Warthog,1,Rift Valley Riverine & Floodplain,34.38783|-18.90593,38.9131617953035,995.817631951919,8022.89181974071,465.671072859287,34.38783,-18.90593
PPG2016-B-23,Warthog,1,Rift Valley Riverine & Floodplain,34.40081|-18.87025,13.7986239084041,578.896351836182,6147.05132774668,740.52140614013,34.40081,-18.87025
PPG2016-B-24,Waterbuck,1,Rift Valley Riverine & Floodplain,34.40498|-18.86723,5.43545023713813,439.861539584944,5779.88206913412,1037.24823874236,34.40498,-18.86723
PPG2016-B-28,Waterbuck,1,Rift Valley Riverine & Floodplain,34.4115872|-18.8761468,15.5546460688787,1445.65375128706,4947.20316862267,861.087077461804,34.4115872,-18.8761468
PPG2016-B-34,Elephant,1,Rift Valley Riverine & Floodplain,34.46005|-18.9091,2.27439871957823,1900.33908545133,2262.33331660447,1008.89797497163,34.46005,-18.9091
PPG2016-B-36,Elephant,1,Rift Valley Riverine & Floodplain,34.46005|-18.9091,2.27439871957823,1900.33908545133,2262.33331660447,1008.89797497163,34.46005,-18.9091
PPG2016-B-5,Baboon,1,Rift Valley Riverine & Floodplain,34.37799|-18.90419,14.3880348697058,35.3556953000108,8928.02242288956,1164.57263661059,34.37799,-18.90419
PPG2017-B-10,Reedbuck,1,Rift Valley Riverine & Floodplain,34.411918|-18.87071,470.134388585166,850.373760848451,4986.34099945219,1098.80002231075,34.411918,-18.87071
PPG2017-B-11,Waterbuck,1,Rift Valley Riverine & Floodplain,34.411918|-18.87071,470.134388585166,850.373760848451,4986.34099945219,1098.80002231075,34.411918,-18.87071
PPG2017-B-12,Baboon,1,Rift Valley Riverine & Floodplain,34.419862|-18.877366,792.312503237546,1658.57099228078,4070.74104614624,1566.12971453378,34.419862,-18.877366
PPG2017-B-13,Warthog,1,Rift Valley Riverine & Floodplain,34.42323|-18.882675,938.351580179417,2079.54980507766,3737.05181924907,1033.62465599624,34.42323,-18.882675
PPG2017-B-14,Warthog,1,Rift Valley Riverine & Floodplain,34.415108|-18.873579,389.640009024097,1201.17611295533,4605.19974069731,1271.34080266777,34.415108,-18.873579
PPG2017-B-15,Baboon,1,Rift Valley Riverine & Floodplain,34.415108|-18.873579,389.640009024097,1201.17611295533,4605.19974069731,1271.34080266777,34.415108,-18.873579
PPG2017-B-16,Waterbuck,1,Rift Valley Riverine & Floodplain,34.410868|-18.870612,410.553306991581,828.610540898751,5096.96791010874,1017.71799988466,34.410868,-18.870612
PPG2017-B-17,Reedbuck,1,Rift Valley Riverine & Floodplain,34.410868|-18.870612,410.553306991581,828.610540898751,5096.96791010874,1017.71799988466,34.410868,-18.870612
PPG2017-B-18,Warthog,1,Rift Valley Riverine & Floodplain,34.411303|-18.871742,349.739606298692,960.791612193898,5030.63803477152,981.144067370594,34.411303,-18.871742
PPG2017-B-30,Warthog,1,Rift Valley Riverine & Floodplain,34.37537|-18.9034,122.277648598122,220.994088708225,9163.47896754558,1150.51175070061,34.37537,-18.9034
PPG2022-B-83,Waterbuck,1,Rift Valley Riverine & Floodplain,34.394806|-18.8842385,39.2916443536104,120.898342083275,6730.04687359577,331.799421363066,34.394806,-18.8842385
PPG2022-B-91,Bushbuck,1,Rift Valley Riverine & Floodplain,34.3959216|-18.890263,121.330800208774,492.16434172965,6706.85242769396,365.568050748289,34.3959216,-18.890263
PPG2022-B-93,Waterbuck,27,Rift Valley Riverine & Floodplain,34.3764922|-18.9042566,6.47721469398596,124.690206637983,9079.98825980361,1093.49651392233,34.3764922,-18.9042566
PPG2021-B-3,Reedbuck,47,Rift Valley Riverine & Floodplain,34.36864|-18.8862,192.727233619321,1505.7330974463,9491.4905080444,1403.74090092987,34.36864,-18.8862
PPG2021-B-5,Reedbuck,16,Rift Valley Riverine & Floodplain,34.3689|-18.88577,169.571748908667,1524.25438813663,9460.24695720848,1357.50345474092,34.3689,-18.88577
PPG2022-B-99,Waterbuck,106,Rift Valley Riverine & Floodplain,34.373802|-18.923326,16.3658759540594,799.918348142148,10191.8301489712,216.099269263714,34.373802,-18.923326
PPG2022-B-102,Waterbuck,30,Rift Valley Riverine & Floodplain,34.3812351|-18.9220958,195.585849294128,1448.4460420222,9445.28364157509,432.933453992245,34.3812351,-18.9220958
PPG2021-B-84,Bushbuck,20,Rift Valley Riverine & Floodplain,34.3960161|-18.8902387,111.142113184917,499.021972296297,6696.57910607363,369.197418224753,34.3960161,-18.8902387
PPG2018-B-15,Baboon,11,Rift Valley Riverine & Floodplain,34.37478|-18.9249,201.047774329653,942.06184856852,10188.7528533497,164.692366547617,34.37478,-18.9249
PPG2022-B-123,Waterbuck,70,Rift Valley Riverine & Floodplain,34.3250525|-18.91668319,226.77853403223,491.867126602737,14657.2534382186,161.256319175833,34.3250525,-18.91668319
PPG2017-B-77,Oribi,1,Rift Valley Riverine & Floodplain,34.4756|-18.92553,768.637214848912,2697.17170086552,3572.62872071836,538.808236035239,34.4756,-18.92553
PPG2016-B-1,Warthog,1,Rift Valley Riverine & Floodplain,34.37594|-18.90423,50.0713057877767,139.128127179158,9134.30668333249,1077.39276486436,34.37594,-18.90423
PPG2016-B-17,Warthog,1,Rift Valley Riverine & Floodplain,34.3731968|-18.905984,209.789632051254,48.69349252593,9469.47580228968,833.206965439362,34.3731968,-18.905984
PPG2016-B-18,Warthog,1,Rift Valley Riverine & Floodplain,34.3733139|-18.9058825,204.356797347876,43.9407862444738,9454.20834434905,845.091240429113,34.3733139,-18.9058825
PPG2017B-28,Impala,1,Rift Valley Riverine & Floodplain,34.37564|-18.90061,76.9540862040321,271.656297563231,9048.6318930004,1459.63090871682,34.37564,-18.90061
PPG2017B-34,Oribi,1,Rift Valley Riverine & Floodplain,34.37608|-18.90327,47.0122600071925,241.881199055205,9087.87402236461,1183.76380688221,34.37608,-18.90327
PPG2017-B-9,Elephant,1,Rift Valley Riverine & Floodplain,34.42323|-18.882675,938.351580179417,2079.54980507766,3737.05181924907,1033.62465599624,34.42323,-18.882675
PPG2022-B-?,Bushbuck,1,Rift Valley Riverine & Floodplain,34.3958|-18.89025,121.938796106318,480.735403808999,6719.14341583736,366.193788319175,34.3958,-18.89025
PPG2022-B-100,Waterbuck,1,Rift Valley Riverine & Floodplain,34.39072|-18.9087,36.2512017329716,1385.2735486176,7866.70917286132,111.621186285087,34.39072,-18.9087
PPG2022-B-101,Waterbuck,1,Rift Valley Riverine & Floodplain,34.39814|-18.87295,30.8670984262593,352.062495364166,6386.80067051503,676.641989979467,34.39814,-18.87295
PPG2022-B-109,Blue wildebeest,93,Rift Valley Riverine & Floodplain,34.32753|-18.87963,16.4146676717976,2456.78370041752,13782.113353569,526.658314972001,34.32753,-18.87963
PPG2022-B-110,Waterbuck,1,Rift Valley Riverine & Floodplain,34.32395|-18.87462,98.0960347580895,2698.71103154642,14166.5780670004,608.405903506398,34.32395,-18.87462
PPG2022-B-111,Warthog,1,Rift Valley Riverine & Floodplain,34.32407|-18.87462,85.4701145683682,2704.82546563276,14153.9593142245,611.453689867594,34.32407,-18.87462
PPG2022-B-124,Waterbuck,1,Rift Valley Riverine & Floodplain,34.47335|-18.91815,21.362322252611,2120.20580942067,2837.02930180558,903.239613835871,34.47335,-18.91815
PPG2022-B-125,Impala,1,Rift Valley Riverine & Floodplain,34.42059|-18.88796,326.56885033878,2720.09966255326,4116.85401244251,393.200775240489,34.42059,-18.88796
PPG2022-B-145,Baboon,1,Rift Valley Riverine & Floodplain,34.37604|-18.89788,90.4793366425979,181.908356692267,8931.4508807922,1765.5768462845,34.37604,-18.89788
PPG2022-B-146,Waterbuck,2,Rift Valley Riverine & Floodplain,34.37607|-18.89795,86.9746274243414,176.944856934357,8930.22945658959,1758.53836907501,34.37607,-18.89795
PPG2022-B-147,Waterbuck,65,Rift Valley Riverine & Floodplain,34.32791|-18.88382,61.6661764998733,2145.26130823673,13752.7505444517,141.045836504469,34.32791,-18.88382
PPG2022-B-148,Impala,1,Rift Valley Riverine & Floodplain,34.41297|-18.88843,123.933502130333,2078.88121313324,4908.99316702906,285.197201462409,34.41297,-18.88843
PPG2022-B-149,Waterbuck,1,Rift Valley Riverine & Floodplain,34.46076|-18.91047,39.8951140783748,1999.36469753461,2386.19512798897,851.485199516494,34.46076,-18.91047
PPG2022-B-155,Waterbuck,1,Rift Valley Riverine & Floodplain,34.46057|-18.91834,75.6840460273465,2710.82252599705,3241.70241507258,57.6246667637247,34.46057,-18.91834
PPG2022-B-156,Waterbuck,1,Rift Valley Riverine & Floodplain,34.46042|-18.91759,35.6469607650695,2654.19151680007,3163.44093909349,90.1802217921381,34.46042,-18.91759
PPG2022-B-157,Reedbuck,45,Rift Valley Riverine & Floodplain,34.34299|-18.9099,706.898279662808,1949.70451641596,12634.6668626917,149.818458650502,34.34299,-18.9099
PPG2022-B-158,Blue wildebeest,59,Rift Valley Riverine & Floodplain,34.34361|-18.91052,680.987958262702,1896.74063636444,12591.01274177,91.7574059651036,34.34361,-18.91052
PPG2022-B-167,Waterbuck,1,Rift Valley Riverine & Floodplain,34.47938|-19.01852,222.909995539728,6068.93430730308,12719.3350181379,556.142442162792,34.47938,-19.01852
PPG2022-B-168,Waterbuck,1,Rift Valley Riverine & Floodplain,34.47783|-19.01784,211.683131229976,6071.28390217454,12701.6832528781,509.21441632577,34.47783,-19.01784
PPG2022-B-169,Buffalo,52,Rift Valley Riverine & Floodplain,34.47406|-19.01711,173.674826050695,6002.17833667186,12764.8513691574,538.185058426008,34.47406,-19.01711
PPG2022-B-171,Waterbuck,1,Rift Valley Riverine & Floodplain,34.37763|-18.90328,113.449408262789,108.713291048911,8932.71746132001,1239.2980030716,34.37763,-18.90328
PPG2022-B-88,Bushbuck,1,Rift Valley Riverine & Floodplain,34.39596|-18.89017,115.856074609326,489.943548104147,6700.93888264159,376.21716167115,34.39596,-18.89017
PPG2022-B-92,Impala,1,Rift Valley Riverine & Floodplain,34.38288|-18.92097,110.359330413044,1533.54385758739,9232.66027578828,506.7551856856,34.38288,-18.92097
PPG2022-B-136,Waterbuck,1,Rift Valley Riverine & Floodplain,34.47253673|-18.91548863,285.864161936031,1879.90316473367,2589.69260053409,1034.11439222174,34.47253673,-18.91548863
PPG2021-B-123,Baboon,7,Rift Valley Riverine & Floodplain,34.3815|-18.89745,577.273197545687,252.268644897507,8362.52108405621,1549.69010755629,34.3815,-18.89745
PPPG2017-B-44,Bushbuck,1,Rift Valley Colluvial Fan,34.6664|-18.678148,8538.25378787066,3927.72967769741,27920.141940399,732.91905451868,34.6664,-18.678148
PPG2017-B-45,Nyala,1,Rift Valley Colluvial Fan,34.66977|-18.671023,7838.95498277952,3981.79129259887,28757.1938487616,168.267771071385,34.66977,-18.671023
PPG2017-B-54,Warthog,1,Rift Valley Colluvial Fan,34.669377|-18.674665,8222.93546409345,4061.69348496065,28418.4346166889,329.382673332931,34.669377,-18.674665
PPG2019-B-42,Duiker red,1,Rift Valley Colluvial Fan,34.56818|-18.8833,5853.10225297665,3894.42448931256,4645.33813750672,618.629272656708,34.56818,-18.8833
PPG2019-B-67,Waterbuck,1,Rift Valley Colluvial Fan,34.56404|-18.89029,5202.09353930475,3013.88944427111,3813.0820280801,1023.0918827671,34.56404,-18.89029
PPG2019-B-68,Waterbuck,1,Rift Valley Colluvial Fan,34.57019|-18.88693,5397.42874331886,3716.90799967847,4554.8233061749,291.55855660758,34.57019,-18.88693
PPG2019-B-69,Waterbuck,1,Rift Valley Colluvial Fan,34.56818|-18.8833,5853.10225297665,3894.42448931256,4645.33813750672,618.629272656708,34.56818,-18.8833
PPG2019-B-70,Duiker red,1,Rift Valley Colluvial Fan,34.56818|-18.8833,5853.10225297665,3894.42448931256,4645.33813750672,618.629272656708,34.56818,-18.8833
PPG2019-B-71,Waterbuck,1,Rift Valley Colluvial Fan,34.56818|-18.8833,5853.10225297665,3894.42448931256,4645.33813750672,618.629272656708,34.56818,-18.8833
PPG2019-B-72,Waterbuck,1,Rift Valley Colluvial Fan,34.56965|-18.88053,6061.95324426139,4233.96098657535,4967.70253550524,755.570747212437,34.56965,-18.88053
PPG2019-B-73,Porcupine,1,Rift Valley Colluvial Fan,34.57431|-18.88234,5685.49950454152,4386.30691889916,5208.64739902665,492.331238508221,34.57431,-18.88234
PPG2019-B-75,Impala,1,Rift Valley Colluvial Fan,34.57217|-18.89635,4381.36077498162,3193.27307283132,4189.92131731463,897.7080960969,34.57217,-18.89635
PPG2019-B-76,Nyala,1,Rift Valley Colluvial Fan,34.57341|-18.89216,4725.37122714737,3568.51673843806,4518.32215814264,623.330523973045,34.57341,-18.89216
PPG2022-B-112,Warthog,29,Rift Valley Colluvial Fan,34.5742111|-18.9456087,323.370495339746,15.1148575928018,5063.65013490078,1218.89480863606,34.5742111,-18.9456087
PPG2022-B-113,Waterbuck,56,Rift Valley Colluvial Fan,34.5746275|-18.9458278,373.452772121228,9.04502027352974,5112.99235724174,1177.16917805458,34.5746275,-18.9458278
PPG2022-B-117,Waterbuck,56,Rift Valley Colluvial Fan,34.5829893|-18.9351242,12.9107571233128,1345.10069422289,5241.12239878639,339.707815440346,34.5829893,-18.9351242
PPG2017-B-44,Bushbuck,1,Rift Valley Colluvial Fan,34.6664|-18.678148,8538.25378787066,3927.72967769741,27920.141940399,732.91905451868,34.6664,-18.678148
PPG2017-B-57,Elephant,1,Cheringoma Plateau,34.71423|-18.92054,817.29828262414,3823.85772862862,18576.1063963064,1316.43442966715,34.71423,-18.92054
PPG2017-B-26,Elephant,1,Cheringoma Plateau,34.66709|-18.90743,2400.11901547246,6409.90865063356,13638.4975756869,1595.01142324683,34.66709,-18.90743
PPG2019-B-6,Waterbuck,1,Cheringoma Plateau,34.675158|-18.798631,3672.4203807953,1793.55126152151,19319.1052188161,3042.48629689341,34.675158,-18.798631
PPG2019-B-8,Reedbuck,1,Cheringoma Plateau,34.675158|-18.798631,3672.4203807953,1793.55126152151,19319.1052188161,3042.48629689341,34.675158,-18.798631
PPG2016-B-14,Waterbuck,1,Cheringoma Plateau,34.6132087|-18.938111,463.97071452277,1899.73376862546,8331.27728316109,1891.98452540294,34.6132087,-18.938111
PPG2016-B-9,Warthog,1,Cheringoma Plateau,34.59525|-18.99897,1058.9898951388,2950.54563311273,11003.8238712115,1692.59276043635,34.59525,-18.99897
PPG2017-B-19,Buffalo,1,Cheringoma Plateau,34.648589|-18.921874,1095.44209050592,4172.92223333271,11684.6311934651,1621.22853447067,34.648589,-18.921874
PPG2017-B-20,Warthog,1,Cheringoma Plateau,34.676853|-18.916615,1456.40496838736,5094.20026538863,14636.5635967083,679.787023507188,34.676853,-18.916615
PPG2017-B-22,Warthog,1,Cheringoma Plateau,34.666682|-18.92741,178.474309691875,4404.607988544,13630.7964108381,841.611472621345,34.666682,-18.92741
PPG2022-B-126,Zebra,1,Cheringoma Plateau,34.67352|-18.90615,2593.88429795843,6309.49628601569,14323.1274152863,1068.52856021325,34.67352,-18.90615
PPG2022-B-97,Bushpig,1,Cheringoma Plateau,34.69361|-18.84185,798.928650888746,2895.28721497286,18330.1538058544,1292.56053833157,34.69361,-18.84185
PPG2022-B-95,Baboon,1,Cheringoma Plateau,34.7236413|-18.8523551,224.620208558867,3993.80518658998,20781.1068062385,1444.48895952438,34.7236413,-18.8523551
PPG2022-B-115,Bushbuck,6,Cheringoma Plateau,34.6453508|-18.9372886,620.034678177009,2444.48036078109,11579.2985473424,2905.86649470552,34.6453508,-18.9372886
PPG2022-B-116,Baboon,1,Cheringoma Plateau,34.6409743|-18.947101,1374.50274394878,1260.37293526082,11417.2556078619,1723.58666955881,34.6409743,-18.947101
PPG2016-B-12,Warthog,1,Cheringoma Plateau,34.6146223|-18.9551821,2270.96865137661,100.783182126992,9217.41522717085,1722.07612891327,34.6146223,-18.9551821
PPG2016-B-13,Warthog,1,Cheringoma Plateau,34.6178421|-18.955538,2242.96244795436,257.954312919752,9534.42805235787,1751.42172945271,34.6178421,-18.955538
PPG2017-B-2,Nyala,1,Cheringoma Plateau,34.699642|-18.664913,8570.84347231383,6891.88772520033,31339.8189600715,535.194377630234,34.699642,-18.664913
PPG2019-B-06,Waterbuck,1,Cheringoma Plateau,34.67516|-18.79863,3672.56237404613,1793.59856806482,19319.3376110622,3042.71699442266,34.67516,-18.79863
PPG2019B-6,Baboon,1,Cheringoma Plateau,34.67516|-18.79863,3672.56237404613,1793.59856806482,19319.3376110622,3042.71699442266,34.67516,-18.79863
PPG2022-B-178,Bushpig,1,Cheringoma Plateau,34.65856|-18.938753,733.705593319257,2906.8222689785,12972.5472650867,1999.87962905819,34.65856,-18.938753
PPG2022-B-177,Porcupine,1,Cheringoma Plateau,34.69609|-18.809012,2734.29205162302,408.854956877815,20376.8432668026,4045.24919733603,34.69609,-18.809012
PPG2018-B-213,Kudu,5,Cheringoma Plateau,34.6651|-18.9437,1420.61940580965,2772.15249843482,13762.1580312157,1914.20855085702,34.6651,-18.9437
PPG2017-B-56,Nyala,1,Cheringoma Plateau,34.72739|-18.99721,1564.86606381279,844.907889246191,21921.7060640352,3700.2362630469,34.72739,-18.99721
PPG2019-B-11,Waterbuck,1,Cheringoma Plateau,34.754614|-18.741936,897.41985683981,184.045216076693,29781.8114977047,4816.3213493652,34.754614,-18.741936
PPG2016-B-11,Zebra,1,Cheringoma Plateau,34.754614|-18.741936,897.41985683981,184.045216076693,29781.8114977047,4816.3213493652,34.754614,-18.741936
PPG2016-B-46,Porcupine,2,Cheringoma Plateau,34.754568|-18.741941,900.406043323186,187.698255953038,29777.7078107259,4815.62096427616,34.754568,-18.741941
PPG2016-B-48,Porcupine,2,Cheringoma Plateau,34.754568|-18.741941,900.406043323186,187.698255953038,29777.7078107259,4815.62096427616,34.754568,-18.741941
PPG2016-B-49,Porcupine,3,Cheringoma Plateau,34.754568|-18.741941,900.406043323186,187.698255953038,29777.7078107259,4815.62096427616,34.754568,-18.741941
PPG2016-B-54,Bushpig,30,Cheringoma Plateau,34.754568|-18.741941,900.406043323186,187.698255953038,29777.7078107259,4815.62096427616,34.754568,-18.741941
PPG2016-B-55,Porcupine,30,Cheringoma Plateau,34.754568|-18.741941,900.406043323186,187.698255953038,29777.7078107259,4815.62096427616,34.754568,-18.741941
PPG2016-B-60,Hystricidae,1,Cheringoma Plateau,34.754568|-18.741941,900.406043323186,187.698255953038,29777.7078107259,4815.62096427616,34.754568,-18.741941
